gene_name,sample_name,gene_family,drug_class,resistance_mechanism,model_type,num_contigs,cutoff,contig_coverage_breadth,contig_percent_id,contig_species,num_reads,read_coverage_breadth,read_coverage_depth,read_species,total_reads,rpm,dpm
tet(w),sample-2,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,97.18,Unknown taxonomy (chromosome),191,99.27,14.02,Bifidobacterium longum (chromosome): 4; Ruthenibacterium lactatiformans (chromosome): 1; Trueperella pyogenes (chromosome): 1; ,10000000,73.79,5.42
tet(w/32/o),sample-2,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,3,21.04,0.21,Trueperella pyogenes (chromosome): 1; ,10000000,1.16,0.08
tet(w/n/w),sample-2,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,81,50.83,6.28,Trueperella pyogenes (chromosome): 1; ,10000000,31.29,2.43
teta(46),sample-2,ATP-binding cassette (ABC) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,10,54.55,0.71,,10000000,3.86,0.27
teta(60),sample-2,ATP-binding cassette (ABC) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,1,8.62,0.09,,10000000,0.39,0.03
tetb(46),sample-2,ATP-binding cassette (ABC) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,6,30.45,0.33,,10000000,2.32,0.13
aads,sample-1,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,4,29.98,0.59,,10000000,1.58,0.23
aph(3')-iiia,sample-1,APH(3'),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,24.78,0.38,,10000000,0.79,0.15
bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin,sample-1,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,128,81.8,2.37,Bifidobacterium longum (chromosome): 1; ,10000000,50.65,0.94
bifidobacterium bifidum iles conferring resistance to mupirocin,sample-1,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),mupirocin,antibiotic target alteration,protein homolog,0,,,,,11,31.62,0.42,,10000000,4.35,0.17
cati,sample-1,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,protein homolog,0,,,,,1,22.73,0.23,,10000000,0.4,0.09
cfxa4,sample-1,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,0,,,,,2,24.33,0.31,,10000000,0.79,0.12
cfxa6,sample-1,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,1,Strict,96.3855,98.75,Bacteroides ovatus (no genomic info),195,100,16.72,,10000000,77.16,6.62
dfrf,sample-1,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,6,83.43,1.7,,10000000,2.37,0.67
ermb,sample-1,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,9,90.36,1.72,,10000000,3.56,0.68
ermf,sample-1,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,1,18.73,0.19,,10000000,0.4,0.08
ind-9,sample-1,IND beta-lactamase,carbapenem,antibiotic inactivation,protein homolog,0,,,,,1,2.5,0.03,,10000000,0.4,0.01
lmrd,sample-1,ATP-binding cassette (ABC) antibiotic efflux pump,lincosamide antibiotic,antibiotic efflux,protein homolog,0,,,,,8,25.51,0.52,,10000000,3.17,0.21
lnuc,sample-1,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation,protein homolog,0,,,,,5,83.64,1.49,,10000000,1.98,0.59
mdtc,sample-1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,2,9.75,0.1,,10000000,0.79,0.04
mdtf,sample-1,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,2,1.83,0.04,,10000000,0.79,0.02
mef(en2),sample-1,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,1,Strict,99.7512,99.5,Bacteroides fragilis (chromosome),205,100,23.13,Bacteroides fragilis (chromosome): 14; ,10000000,81.11,9.15
mel,sample-1,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic,antibiotic target protection,protein homolog,0,,,,,2,24.63,0.25,Clostridioides difficile (chromosome): 1; ,10000000,0.79,0.1
plasmid-encoded cat (pp-cat),sample-1,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,protein homolog,0,,,,,1,22.73,0.23,,10000000,0.4,0.09
rpob2,sample-1,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,10,16.97,0.04,,10000000,3.96,0.02
tet(32),sample-1,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,10,46.67,0.56,,10000000,3.96,0.22
tet(40),sample-1,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,27,100,2.99,,10000000,10.68,1.18
tet(m),sample-1,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,2,15.62,0.16,,10000000,0.79,0.06
tet(o),sample-1,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,2,Strict,99.6875,99.53999999999999,Unknown taxonomy (chromosome or plasmid),37,79.58,2.85,,10000000,14.64,1.13
tet(o/32/o),sample-1,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,6,21.56,0.47,,10000000,2.37,0.19
tet(o/m/o),sample-1,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,4,15.31,0.31,,10000000,1.58,0.12
tet(o/w),sample-1,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,58,87.29,4.26,Collinsella aerofaciens (chromosome): 1; Streptococcus suis (chromosome or plasmid): 3; ,10000000,22.95,1.69
tet(o/w/32/o),sample-1,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,56,60.78,4.25,Trueperella pyogenes (chromosome): 1; ,10000000,22.16,1.68
tet(q),sample-1,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,36.1702,96.22,Unknown taxonomy (chromosome),54,93.82,3.82,,10000000,21.37,1.51
tet(w),sample-1,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,97.18,Unknown taxonomy (chromosome),162,96.98,11.39,Ruthenibacterium lactatiformans (chromosome): 1; ,10000000,64.1,4.51
tet(w/32/o),sample-1,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,6,34.43,0.45,Trueperella pyogenes (chromosome): 2; ,10000000,2.37,0.18
tet(w/n/w),sample-1,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,47,49.11,3.65,Trueperella pyogenes (chromosome): 2; ,10000000,18.6,1.44
tetb(60),sample-1,ATP-binding cassette (ABC) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,1,8.62,0.09,,10000000,0.4,0.04
acrb,sample-6,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,12,35.71,0.57,Klebsiella aerogenes (chromosome): 2; Enterobacter hormaechei (chromosome): 1; ,10000000,4.57,0.22
acrd,sample-6,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux,protein homolog,0,,,,,4,14.93,0.07,Enterobacter cloacae (chromosome): 1; ,10000000,1.52,0.03
act-12,sample-6,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation,protein homolog,0,,,,,2,26.18,0.26,,10000000,0.76,0.1
act-54,sample-6,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation,protein homolog,0,,,,,10,51.4,0.95,,10000000,3.81,0.36
aph(2'')-iia,sample-6,APH(2''),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,33.33,0.33,,10000000,0.76,0.13
baer,sample-6,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,2,36.38,0.21,,10000000,0.76,0.08
baes,sample-6,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,2,9.33,0.15,,10000000,0.76,0.06
bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin,sample-6,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,65,42.21,0.61,,10000000,24.73,0.23
bifidobacterium bifidum iles conferring resistance to mupirocin,sample-6,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),mupirocin,antibiotic target alteration,protein homolog,0,,,,,1,4.51,0.05,,10000000,0.38,0.02
cbla-1,sample-6,CblA beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,3,38.95,0.39,,10000000,1.14,0.15
cfxa5,sample-6,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,0,,,,,29,96.58,4.14,Parabacteroides distasonis (chromosome or plasmid): 3; ,10000000,11.03,1.58
cpxa,sample-6,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,2,13.61,0.22,,10000000,0.76,0.08
crp,sample-6,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,3,44.71,0.45,Enterobacter (chromosome): 1; ,10000000,1.14,0.17
dfrf,sample-6,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,5,89.09,1.39,,10000000,1.9,0.53
enterobacter cloacae acra,sample-6,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,3,35.01,0.38,Enterobacter cloacae (chromosome): 1; ,10000000,1.14,0.14
ermb,sample-6,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,1,Strict,98.3936,98.37,Unknown taxonomy (chromosome or plasmid),37,99.87,5.83,,10000000,14.08,2.22
ermf,sample-6,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,12,84.77,1.73,Bacteroides (no genomic information): 1; ,10000000,4.57,0.66
ermg,sample-6,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,3,42.59,0.49,,10000000,1.14,0.19
escherichia coli acra,sample-6,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2,24.71,0.25,Escherichia coli (chromosome): 1; ,10000000,0.76,0.1
fosa2,sample-6,fosfomycin thiol transferase,fosfomycin,antibiotic inactivation,protein homolog,0,,,,,8,97.89,1.72,,10000000,3.04,0.65
lmrd,sample-6,ATP-binding cassette (ABC) antibiotic efflux pump,lincosamide antibiotic,antibiotic efflux,protein homolog,0,,,,,15,52.98,1.07,,10000000,5.71,0.41
lnuc,sample-6,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation,protein homolog,0,,,,,5,51.72,1.05,,10000000,1.9,0.4
mdta,sample-6,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,2,17.15,0.12,,10000000,0.76,0.05
mdtb,sample-6,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,4,13.06,0.05,,10000000,1.52,0.02
mdtc,sample-6,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,2,9.75,0.1,,10000000,0.76,0.04
mef(en2),sample-6,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,0,,,,,7,51.49,0.87,,10000000,2.66,0.33
mel,sample-6,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic,antibiotic target protection,protein homolog,0,,,,,27,95.98,3.13,Parabacteroides distasonis (chromosome): 1; Clostridioides difficile (chromosome): 1; Parabacteroides distasonis (plasmid): 4; Clostridioides difficile (plasmid): 1; Streptococcus (chromosome): 1; Streptococcus (no genomic information): 1; ,10000000,10.27,1.19
mexb,sample-6,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem,antibiotic efflux,protein homolog,0,,,,,4,12.83,0.07,Enterobacter hormaechei (chromosome): 1; ,10000000,1.52,0.03
msba,sample-6,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,protein homolog,0,,,,,3,17.32,0.17,,10000000,1.14,0.06
nimb,sample-6,nitroimidazole reductase,nitroimidazole antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,3.64,0.07,,10000000,0.76,0.03
ompa,sample-6,General Bacterial Porin with reduced permeability to beta-lactams,monobactam; carbapenem; cephalosporin; cephamycin; penam; penem,reduced permeability to antibiotic,protein homolog,0,,,,,5,44.89,0.27,,10000000,1.9,0.1
oqxa,sample-6,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,antibiotic efflux,protein homolog,0,,,,,4,33.67,0.51,,10000000,1.52,0.19
oqxb,sample-6,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,antibiotic efflux,protein homolog,0,,,,,13,33.49,0.52,,10000000,4.95,0.2
oxa-783,sample-6,OXA beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation,protein homolog,0,,,,,3,6.4,0.03,,10000000,1.14,0.01
pata,sample-6,ATP-binding cassette (ABC) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,2,9.91,0.01,,10000000,0.76,0
patb,sample-6,ATP-binding cassette (ABC) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,2,4.81,0.1,Streptococcus pneumoniae (chromosome): 2; ,10000000,0.76,0.04
tem-228,sample-6,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation,protein homolog,0,,,,,1,14.4,0.14,,10000000,0.38,0.05
tet(32),sample-6,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,12,18.91,0.31,Bifidobacterium longum (chromosome): 4; ,10000000,4.57,0.12
tet(36),sample-6,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,95.9438,30.43,,,,,,10000000,0,0
tet(40),sample-6,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,21,86.32,2.32,Faecalibacterium prausnitzii (chromosome): 1; ,10000000,7.99,0.88
tet(m),sample-6,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,3,14.48,0.23,,10000000,1.14,0.09
tet(o),sample-6,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,99.06,Unknown taxonomy (chromosome or plasmid),88,100,6.18,Streptococcus suis (chromosome): 1; Anaerostipes hadrus (chromosome): 1; Streptococcus suis (chromosome or plasmid): 2; Enterococcus hirae (chromosome or plasmid): 1; ,10000000,33.48,2.35
tet(o/32/o),sample-6,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,4,29.27,0.31,Enterococcus hirae (chromosome): 1; ,10000000,1.52,0.12
tet(o/m/o),sample-6,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,7,26.67,0.55,,10000000,2.66,0.21
tet(o/w),sample-6,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,20,21.82,1.46,,10000000,7.61,0.56
tet(q),sample-6,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,97.4164,97.19,Bacteroides ovatus (chromosome),148,100,10.14,Bacteroides fragilis (chromosome): 5; ,10000000,56.32,3.86
tet(w),sample-6,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,93.5938,99.17,Unknown taxonomy (chromosome),289,100,20.62,Bifidobacterium longum (chromosome): 2; ,10000000,109.97,7.85
tet(w/32/o),sample-6,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,2,5.99,0.12,,10000000,0.76,0.05
tet(w/n/w),sample-6,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,46,34.79,3.52,Trueperella pyogenes (chromosome): 2; ,10000000,17.5,1.34
tet(x),sample-6,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,22,98.29,2.63,,10000000,8.37,1
teta(46),sample-6,ATP-binding cassette (ABC) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,5,20.29,0.32,,10000000,1.9,0.12
teta(60),sample-6,ATP-binding cassette (ABC) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,2,17.24,0.17,,10000000,0.76,0.06
teta(p),sample-6,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,13,5.54,0.04,,10000000,4.95,0.02
